taxi_id,x,y,status
1,2,0,available
1,3,0,available
1,2,0,available
1,3,0,available
1,4,0,available
1,3,0,available
1,4,0,available
1,5,0,available
1,6,0,available
1,6,1,available
1,5,1,available
1,6,1,available
1,6,2,available
1,6,1,available
1,6,2,available
1,6,1,available
1,6,2,available
1,6,1,available
1,7,1,available
1,7,2,available
1,8,2,available
1,9,2,available
1,9,3,available
1,9,3,available
1,9,3,available
1,8,3,available
1,8,2,available
1,8,3,available
1,8,2,available
1,8,1,available
1,8,0,available
1,9,0,available
1,9,0,available
1,9,0,available
1,9,1,available
1,9,0,available
1,9,0,available
1,9,1,available
1,9,2,available
1,9,2,available
1,9,1,available
1,9,1,available
1,9,2,available
1,9,2,available
1,9,3,available
1,8,3,available
1,7,3,available
1,6,3,available
1,6,2,available
1,5,2,available
1,5,3,available
1,5,4,available
1,5,5,available
1,4,5,available
1,4,6,available
1,4,5,available
1,4,6,available
1,4,5,available
1,4,6,available
1,3,6,available
1,3,7,available
1,4,7,available
1,4,8,available
1,5,8,available
1,6,8,available
1,7,8,available
1,6,8,available
1,6,9,available
1,5,9,available
1,6,9,available
1,6,8,available
1,6,9,available
1,5,9,available
1,5,9,available
1,5,8,available
1,6,8,available
1,6,7,available
1,6,8,available
1,7,8,available
1,7,7,available
1,7,8,available
1,7,7,available
1,7,8,available
1,7,7,available
1,7,6,available
1,8,6,available
1,7,6,available
1,6,6,available
1,5,6,available
1,4,6,available
1,4,5,available
1,3,5,available
1,3,4,available
1,4,4,available
1,4,5,available
1,4,6,available
1,3,6,available
1,3,5,available
1,2,5,available
1,2,6,available
1,2,5,available
1,2,4,available
1,2,3,available
1,3,3,available
1,3,4,available
1,3,3,available
1,3,4,available
1,4,4,available
1,5,4,available
1,5,3,available
1,4,3,available
1,5,3,available
1,5,2,available
1,4,2,available
1,5,2,available
1,6,2,available
1,7,2,available
1,7,1,available
1,7,0,available
1,8,0,available
1,8,0,available
1,9,0,available
1,9,0,available
1,9,1,available
1,8,1,available
1,9,1,available
1,9,0,available
1,9,0,available
1,8,0,available
1,8,0,available
1,8,0,available
1,7,0,available
1,7,1,available
1,7,2,available
1,6,2,available
1,5,2,available
1,5,3,available
1,5,4,available
1,4,4,available
1,5,4,available
1,5,3,available
1,4,3,available
1,4,4,available
1,5,4,available
1,4,4,available
1,4,3,available
1,3,3,available
1,4,3,available
1,4,2,available
1,3,2,available
1,4,2,available
1,5,2,available
1,5,3,available
1,6,3,available
1,5,3,available
1,6,3,available
1,7,3,available
1,7,4,available
1,7,5,available
1,8,5,available
1,7,5,available
1,6,5,available
1,6,4,available
1,5,4,available
1,5,3,available
1,4,3,available
1,5,3,available
1,6,3,available
1,5,3,available
1,5,4,available
1,5,3,available
1,5,4,available
1,5,3,available
1,5,4,available
1,5,5,available
1,4,5,available
1,4,4,available
1,5,4,available
1,4,4,available
1,4,3,available
1,5,3,available
1,5,4,available
1,6,4,available
1,6,5,available
1,6,4,available
1,6,5,available
1,6,4,available
1,7,4,available
1,8,4,available
1,8,5,available
1,9,5,available
1,9,5,available
1,9,5,available
1,9,6,available
1,9,6,available
1,9,6,available
1,9,7,available
1,9,8,available
1,8,8,available
1,8,7,available
1,8,6,available
1,8,5,available
1,9,5,available
1,8,5,available
1,9,5,available
1,9,4,available
1,8,4,available
1,7,4,available
1,6,4,available
1,7,4,available
1,7,3,available
1,6,3,available
1,6,2,available
1,5,2,available
1,4,2,available
1,5,2,available
